"Source","Owner","First Name","Last Name","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","Tht tecnología en talento humano ltda
             ","JO","Tht tecnología en talento humano ltda
             ","Bogotá
                                            ","Pruebas psicotécnicas
                                            ","comercial@tht.com.co  
                          "," www.tht.com.co  
                                        
","Cl 122 23-55 Of 202  
                                ","4809578  
    ",
"Julieth Ortega","Julieth Ortega","Tower watson consultores colombia
                 ","JO","Tower watson consultores colombia
                 ","Bogotá
                                            ","Asesorías y consultorías en gestión empresarial, Beneficios laborales, Consultoría financiera
                                            ","administrativa@towerswatson.com  
               "," www.towerswatson.com  
                                   ","Cl 127 13A-54 Of 503  
                               ","6155034  
    ","2167392  
    "
"Julieth Ortega","Julieth Ortega","Universidad del tolima
                            ","JO","Universidad del tolima
                            ","Ibagué
                                            ","Capacitación para recursos humanos, Capacitación y entrenamiento organizacional
                                            ","especializaciones@ut.edu.co  
                   "," www.ut.edu.co  
                                        
","Barrio Santa Elena Parte Alta  
                      ","2771515 Ext:929","2772020  
    "
"Julieth Ortega","Julieth Ortega","Universidad eafit
                                   ","JO","Universidad eafit
                                   ","Medellín
                                            ","Especialización y maestría en gestión humana, Maestría en desarrollo humano organizacional
                                            ","posgrados@eafit.edu.co  
                        "," www.eafit.edu.co  
                                       ","Carrera 49 7sur-50   
                                ","+574 4489500   ","018000515900  
"
"Julieth Ortega","Julieth Ortega","Universidad sergio arboleda
                       ","JO","Universidad sergio arboleda
                       ","Bogotá
                                            ","Capacitación para recursos humanos, Capacitación y entrenamiento organizacional
                                            ","info@usa.edu.co  
                               "," www.usergioarboleda.edu.co  
                             ","Calle 74 no. 14 - 14    
                             ","3257500  
    ",
"Julieth Ortega","Julieth Ortega","1a eventos ltda.
                                  ","JO","1a eventos ltda.
                                  ","Bogotá
                                            ","Alquiler de equipos audiovisuales
                                            ","atencionalcliente@eventos1a.com  
               "," www.eventos1a.com  
                                      ","Av (Cl) 24 95-12 Bdg 11 Parque Ind Portos  
          ","4286967  
    ",
"Julieth Ortega","Julieth Ortega","1a eventos ltda.
                                  ","JO","1a eventos ltda.
                                  ","Bogotá
                                            ","Alquiler de equipos para eventos y espectáculos, Alquiler de equipos audiovisuales, Alquiler de equipos de cómputo y periféricos
                                            ","info@eventos1a.com - servicioalcliente@eventos1a.c"," www.eventos1a.com  
                                      ","Av (Cl) 24 95-12 Bdg 11 Parque Ind Portos  
          ","4286967  
    ",
"Julieth Ortega","Julieth Ortega","2oasa - optimización de operaciones
               ","JO","2oasa - optimización de operaciones
               ","Bogotá
                                            ","Software administrativo, contable y financiero
                                            ","dos2oacentral@yahoo.es  
                        "," www.2oa.com.co  
                                        
","Cl 92 15-48 Of 212  
                                 ","2572126  
    ","6557565  
    "
"Julieth Ortega","Julieth Ortega","3 pointech e.u
                                      ","JO","3 pointech e.u
                                      ","Medellín
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","gerencia@3pointech.net  
                        ",,"Cl 42 69-06 Of 205 Barrio San Joaquín  
              ","2306761  
    ","4165777  
    "
"Julieth Ortega","Julieth Ortega","3com international inc.
                           ","JO","3com international inc.
                           ","Bogotá
                                            ","Servidores dispositivos para servidores
                                            ","gabriel_gonzalez@3com.com  
                     "," www.3com.com  
                                        
 ","Cl 114 9-45 Torre B Of 1411 Barrio Santa Bárbara  
   ","5925000  
    ","5925028  
    "
"Julieth Ortega","Julieth Ortega","3m colombia s.a.
                                        ","JO","3m colombia s.a.
                                        ","Barranquilla
                                            ","Dotaciones para clínicas y hospitales, Materiales eléctricos, Pegantes, Cintas adhesivas
                                            ","3mcontacto@mmm.com  
                            "," www.3m.com.co  
                                        
","Cl 77B 57-141 P6 Of 606  
                            ",,
"Julieth Ortega","Julieth Ortega","3m colombia s.a.
                                ","JO","3m colombia s.a.
                                ","Cali
                                            ","Dotaciones para clínicas y hospitales, Materiales eléctricos, Pegantes, Cintas adhesivas
                                            ","vsusa@mmm.com  
                                 "," www.3m.com  
                                        
   ","Cr 100 16-20 P 7 Of 702 Edif Av 100 Barrio Ciudad Jardí","3161414  
    ",
"Julieth Ortega","Julieth Ortega","3m colombia s.a.
                                  ","JO","3m colombia s.a.
                                  ","Bogotá
                                            ","Dotaciones para clínicas y hospitales, Ferreterías, Pegantes, Post-it, Resaltadores, Artículos para publicidad, Cintas adhesivas, Papelerías
                                            ","3m@mmm.com.co  
                                 "," www.3m.com.co  
                                        
","Av Eldorado 75-93  
                                  ","4161655  
    ","4161666  
    "
"Julieth Ortega","Julieth Ortega","8088 net ltda.
                                    ","JO","8088 net ltda.
                                    ","Bogotá
                                            ","Conmutadores, Computadores y partes periféricas
                                            ","ventas@8088.net  
                               "," www.8088.net  
                                        
 ","Cr 15 77-90 L 206 Barrio El Lago  
                   ","4808088  
    ",
"Julieth Ortega","Julieth Ortega","A & enseres e.u.
                                    ","JO","A & enseres e.u.
                                    ","Medellín
                                            ","Divisiones para oficina
                                            ","ayenseres@une.net.co  
                          ",,"Cr 65 39-47  
                                        ","3516611  
    ","3516610  
    "
"Julieth Ortega","Julieth Ortega","A & g comercializadora
                            ","JO","A & g comercializadora
                            ","Bogotá
                                            ","Ceniceros de piso, Dispensadores de jabón, Dispensadores de papel higiénico
                                            ","gerencia@aygcomercializadora.com  
              "," www.aygcomercializadora.com  
                            ","Cr 34 4-03 P 1  
                                     ","2014276  
    ",
"Julieth Ortega","Julieth Ortega","A & r comunicaciones
                            ","JO","A & r comunicaciones
                            ","Cali
                                            ","Citofonía
                                            ","alonsoreyes4528@hotmail.com  
                   ",,"Cl 23 40-12 Barrio Guabal  
                          ","3242570  
    ","3364004  
    "
"Julieth Ortega","Julieth Ortega","A & s - accecomputo & servicios ltda.
             ","JO","A & s - accecomputo & servicios ltda.
             ","Bogotá
                                            ","Suministros para impresoras
                                            ","accecomputo@etb.net.co - rgarzon@etb.net.co  
   "," www.accecomputo.com  
                                    ","Cr 9 15-21 Mz E  
                                    ","3365947  
    ",
"Julieth Ortega","Julieth Ortega","A abel equipos ltda.
                                ","JO","A abel equipos ltda.
                                ","Medellín
                                            ","Multifuncionales y fax
                                            ","abelequipos@yahoo.com  
                         ",,"Cr 35 41A-22 Barrio El Salvador  
                    ","2390679  
    ",
"Julieth Ortega","Julieth Ortega","A adomicilio servimantenimiento
                 ","JO","A adomicilio servimantenimiento
                 ","Cali
                                            ","Mantenimiento de equipos de telefonía, Mantenimiento de fax
                                            ","aservimantenimiento@hotmail.com  
               ",,"Cr 4N 62N-135  
                                      ","6800528  
    ","6819118  
    "
"Julieth Ortega","Julieth Ortega","A aire acodicionado ingw
                        ","JO","A aire acodicionado ingw
                        ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ingw@ingewonline.com  
                          "," www.ingewonline.com  
                                    ","Cl 16 1-60 Barrio San Nicolás Centro  
               ","8811515  
    ","8843634  
    "
"Julieth Ortega","Julieth Ortega","A aluminios y vidrios lema
                      ","JO","A aluminios y vidrios lema
                      ","Cali
                                            ","Aluminio arquitectónico
                                            ","vidrioslema@yahoo.es  
                          "," www.avlemalife.com  
                                     ","Cl 10 66-31  
                                        ","3394928  
    ",
"Julieth Ortega","Julieth Ortega","A axe
                                            ","JO","A axe
                                            ","Medellín
                                            ","Fotocopiadoras, Mantenimiento de máquinas y equipos de oficina, Máquinas y equipos de oficina
                                            ","aaxequip@une.net.co  
                           "," www.a.axe.com.co  
                                       ","Cl 44 80-47 Of 104  
                                 ","4163355  
    ",
"Julieth Ortega","Julieth Ortega","A b c finca raíz
                                    ","JO","A b c finca raíz
                                    ","Medellín
                                            ","Inmobiliarias
                                            ","abcfincaraiz@une.net.co  
                       ",,"Cr 76 33A-71  
                                       ","2509883  
    ",
"Julieth Ortega","Julieth Ortega","A cohen
                                         ","JO","A cohen
                                         ","Cali
                                            ","Vidrios
                                            ","vidriosacohen@hotmail.com  
                     "," www.vidriosacohen.com  
                                  ","Cr 32 9C-45  
                                        ","5144631  
    ","5144632  
    "
"Julieth Ortega","Julieth Ortega","A domicilio maxitel - bernardo montoya
              ","JO","A domicilio maxitel - bernardo montoya
              ","Medellín
                                            ","Plantas telefónicas
                                            ","maxitel@une.net.co  
                            ",,"Cl 81 71-25 Of 301  
                                 ","4377878  
    ",
"Julieth Ortega","Julieth Ortega","A extintores y resortes superior
                ","JO","A extintores y resortes superior
                ","Cali
                                            ","Equipos contra incendio
                                            ","aexsuperior@hotmail.com  
                       ",,"Cr 16 16a-67  
                                       ","8832852  
    ",
"Julieth Ortega","Julieth Ortega","A sellar ltda.
                                    ","JO","A sellar ltda.
                                    ","Bogotá
                                            ","Artículos y suministros de oficina, Relojes de control de personal, Relojes radicadores de correspondencia, Acabados arquitectónicos, Avisos, Carnés, Contadoras de billetes y monedas, Grabado láser, Identificación biométrica, Laminación, Protectores de cheques, Sellos
                                            ","asellar@asellar.com - pedidos@tussellos.com.co  
"," www.asellar.com - www.tussellos.com.co  
                 ","Cr 15 95-34 L 113 Barrio Chicó  
                     ","6914743  
    ","2365485  
    "
"Julieth Ortega","Julieth Ortega","A steckerl hierros y aceros s.a.
                        ","JO","A steckerl hierros y aceros s.a.
                        ","Barranquilla
                                            ","Medidores de agua y otros líquidos
                                            ","barranquilla@alfredosteckerl.com  
              "," www.alfredosteckerl.com  
                                ","Carretera La Cordialidad Km 3 Vía Galápa Costado Izquie","3671600  
    ",
"Julieth Ortega","Julieth Ortega","A su servicio rat tray
                               ","JO","A su servicio rat tray
                               ","Manizales
                                            ","Artículos para aseo y cafetería
                                            ","rat-trayfumigaciones@hotmail.com  
              ",,"Cr 20 54-27 La Leonora  
                             ","8850016  
    ",
"Julieth Ortega","Julieth Ortega","A y a  fadipartes empresa e.u.
                    ","JO","A y a  fadipartes empresa e.u.
                    ","Bogotá
                                            ","Medidores de agua y otros líquidos
                                            ","fadipartes@etb.net.co  
                         "," www.fadipartes.com  
                                     ","Cr 68 3-80 P 2  
                                     ","4190599  
    ",
"Julieth Ortega","Julieth Ortega","A y b modulares s.a.
                                ","JO","A y b modulares s.a.
                                ","Sabaneta
                                            ","Cielo rasos
                                            ","secretaria@ayb.com.co  
                         "," www.ayb.com.co  
                                        
","Cr 48 61Sur-115 Sabaneta  
                           ","2887070  
    ",
"Julieth Ortega","Julieth Ortega","A y h consultoría ltda.
                           ","JO","A y h consultoría ltda.
                           ","Bogotá
                                            ","Software administrativo, contable y financiero
                                            ","informacion@ayhconsultoria.com  
                "," www.ayhconsultoria.com  
                                 ","Cr 70F 127A-85  
                                     ","2533300  
    ",
"Julieth Ortega","Julieth Ortega","A y r universal ltda.
                             ","JO","A y r universal ltda.
                             ","Bogotá
                                            ","Equipos contra incendio
                                            ","info@ayruniversalltda.com  
                     "," www.ayruniversalltda.com  
                               ","Cr 73A 69A-40  
                                      ","4366199  
    ",
"Julieth Ortega","Julieth Ortega","A&a asociados ltda.
                                 ","JO","A&a asociados ltda.
                                 ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ayaasociadosltda@gmail.com  
                    ",,"Cl 52 49-71 Of 605 Centro  
                          ","5116013  
    ",
"Julieth Ortega","Julieth Ortega","A&c cortinas y decoracion y cía. ltda.
              ","JO","A&c cortinas y decoracion y cía. ltda.
              ","Medellín
                                            ","Decoración, Alfombras y tapetes
                                            ","ayccortinas@une.net.co  
                        ",,"Av 33 74B-160 Barrio Laureles  
                      ","4112311  
    ",
"Julieth Ortega","Julieth Ortega","A&co - auditoría, consultoría, outsourcing y asesor","JO","A&co - auditoría, consultoría, outsourcing y asesor","Bogotá
                                            ","Asesorías y consultorías contables
                                            ","info@ayco-sas.com  
                             "," www.ayco-sas.com  
                                       ","Cl 100 19A-50 Of 603  
                               ","2578508  
    ","6222523  
    "
"Julieth Ortega","Julieth Ortega","A&ges consultoría s.a.
                               ","JO","A&ges consultoría s.a.
                               ","Cartagena
                                            ","Asesorías y consultorías en gestión empresarial
                                            ","also312@hotmail.com  
                           "," www.ayges.com  
                                        
","Edif 19 de Chambacú Of 619  
                         ","6641990  
    ","6641908  
    "
"Julieth Ortega","Julieth Ortega","A&m aluminios
                                   ","JO","A&m aluminios
                                   ","Buga
                                            ","Aluminio arquitectónico
                                            ","aymaluminios@gmail.com  
                        ",,"Cr 8 6-72  
                                        Co","2370881  
    ","2371144  
    "
"Julieth Ortega","Julieth Ortega","A&m logistics ltda.
                               ","JO","A&m logistics ltda.
                               ","Bogotá
                                            ","Transporte aéreo de carga
                                            ","info@aymlogistics.net  
                         "," www.aymlogistics.net  
                                   ","Cr 106 15-25 Mz 9 Bdg 18  
                           ","4395919  
    ","4396799  
    "
"Julieth Ortega","Julieth Ortega","A'hora s.a.
                                         ","JO","A'hora s.a.
                                         ","Medellín
                                            ","Empleados temporales
                                            ","serviciostemporales@a-hora.com  
                ",,"Cl 52 47-42 Edif Coltejer P 9  
                      ","5753871  
    ","5753870  
    "
"Julieth Ortega","Julieth Ortega","A-sahertex ltda.
                                ","JO","A-sahertex ltda.
                                ","Cali
                                            ","Uniformes
                                            ","sahertexltda@hotmail.com  
                      ",,"Av Roosevelt 36-92  
                                 ","5571795  
    ",
"Julieth Ortega","Julieth Ortega","A-telco comunicaciones
                          ","JO","A-telco comunicaciones
                          ","Cali
                                            ","Telecomunicaciones
                                            ","ventas@telco.com.co  
                           "," www.telco.com.co  
                                       ","Av 5B Norte 22-37 Barrio Versalles  
                 ","6683991  
    ",
"Julieth Ortega","Julieth Ortega","A-z distribuidora papelera ltda.
                       ","JO","A-z distribuidora papelera ltda.
                       ","Bucaramanga
                                            ","Artículos y suministros de oficina
                                            ","azpapeleria@hotmail.com  
                       ",,"Cl 45 28-68  
                                        ","6572885  
    ",
"Julieth Ortega","Julieth Ortega","A. escritorios y escritorios álvarez
            ","JO","A. escritorios y escritorios álvarez
            ","Cali
                                            ","Muebles para oficina
                                            ","escritorios@uniweb.net.co  
                     ",,"Av Roosevelt 24A-35  
                                ","6801898  
    ","5567214  
    "
