"Source","Owner","First Name","Last Name","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","H y h eléctricos
                                    ","JO","H y h eléctricos
                                    ","Medellín
                                            ","Artículos eléctricos
                                            ","hyh_electricos@hotmail.com  
                    ",,"Cl 45 50-13  
                                        ","2325458  
    ","4445078  
    "
"Julieth Ortega","Julieth Ortega","H&a consulting ltda.
                              ","JO","H&a consulting ltda.
                              ","Bogotá
                                            ","Capacitación y entrenamiento organizacional, Clima organizacional, Gestión del desempeño, Procesos de selección
                                            ","atencionalcliente@haconsultingeu.com - marketing@h"," www.haconsultingeu.com  
                                 ","Tr 21Bis 61B-41  
                                    ","3157868089  
 ",
"Julieth Ortega","Julieth Ortega","H. castro cía. ltda.
                            ","JO","H. castro cía. ltda.
                            ","Cali
                                            ","Espejos
                                            ","acril_pacifico@hotmail.com  
                    ",,"Cl 15 19-35  
                                        ","8881118  
    ","8881117  
    "
"Julieth Ortega","Julieth Ortega","H.a. cocinas y muebles s.a.
                         ","JO","H.a. cocinas y muebles s.a.
                         ","Medellín
                                            ","Muebles para cocina
                                            ","hacocinas@hacocinas.com  
                       "," www.hacocinas.com  
                                      ","Cr 45A 67B-19 Itagüí  
                               ","2777574  
    ",
"Julieth Ortega","Julieth Ortega","H.b. fuller colombia ltda.
                          ","JO","H.b. fuller colombia ltda.
                          ","Medellín
                                            ","Pegantes
                                            ","servicioalcliente-colombia@hbfuller.com  
       "," www.hbfuller.com  
                                       ","Cl 27 41-33 Itagüí  
                                 ","3788230  
    ",
"Julieth Ortega","Julieth Ortega","Habadía general office service
                  ","JO","Habadía general office service
                  ","Cali
                                            ","Artículos y suministros de oficina, Acetatos, Almohadillas, Archivadores de fuelle, Artículos para escritorio, Bolígrafos, Borradores, Borradores para tablero, Máquinas y equipos de oficina, Papeleras, Papelerías, Suministros para copiadoras
                                            ","gabadia@habadia.com  
                           "," www.habadia.com  
                                        ","Cl 50N 5B-08 La Flora  
                              ","6644358  
    ","6644420  
    "
"Julieth Ortega","Julieth Ortega","Habitat store
                                     ","JO","Habitat store
                                     ","Bogotá
                                            ","Archivadores
                                            ","secretaria@habitatstore.com  
                   ",,"Autop Norte 183A-70  
                                ",,
"Julieth Ortega","Julieth Ortega","Haddad & cía.
                                       ","JO","Haddad & cía.
                                       ","Montería
                                            ","Aluminio arquitectónico
                                            ","ventas1@haddad.com.co  
                         ",,"Cr 14 34-36 Esq  
                                    ","7823670  
    ","7910114  
    "
"Julieth Ortega","Julieth Ortega","Hadeo ltda.
                                       ","JO","Hadeo ltda.
                                       ","Bogotá
                                            ","Dotaciones para clínicas y hospitales
                                            ","hadeocol@une.net.co  
                           ",,"Cr 24 39B-25 Of 403  
                                ","3682393  
    ","3688340  
    "
"Julieth Ortega","Julieth Ortega","Hanseática cía. ltda.
                             ","JO","Hanseática cía. ltda.
                             ","Bogotá
                                            ","Manejo inteligente de filas
                                            ","textil@hanseatica.com.co  
                      "," www.hanseatica.com.co  
                                  ","Cl 17 69B-06  
                                       ","2922153  
    ","4050461  
    "
