"Source","Owner","First Name","Last Name","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","Concretal p.c.
                                    ","JO","Concretal p.c.
                                    ","Cúcuta
                                            ","Entrepisos
                                            ","concretalpc@yahoo.com  
                         ",,"Av 3  9-73 Of 201 Edif Movel  
                       ","5718975  
    ","5784878  
    "
"Julieth Ortega","Julieth Ortega","Concuero s.a.
                                       ","JO","Concuero s.a.
                                       ","Medellín
                                            ","Herrajes para muebles
                                            ","concuero@concuero.com  
                         "," www.concuero.com  
                                       ","Cl 29 44-160  
                                       ","2620962  
    ",
"Julieth Ortega","Julieth Ortega","Cóndor s.a. compañía de seguros generales
              ","JO","Cóndor s.a. compañía de seguros generales
              ","Santa marta
                                            ","Seguros
                                            ","gilbertosalazar@condorsa.com.co  
               "," www.condorsa.com.co  
                                    ","Cl 23 4-27 Of 112 Edif Centro Ejecutivo  
            ","4313121  
    ",
"Julieth Ortega","Julieth Ortega","Cóndor s.a. compañía de seguros generales
         ","JO","Cóndor s.a. compañía de seguros generales
         ","Bogotá
                                            ","Seguros
                                            ","barranquilla.condor@condorsa.com.co  
           ",,"Cl 119 16-59  
                                       ","6120666  
    ",
"Julieth Ortega","Julieth Ortega","Conectar s.a.
                                       ","JO","Conectar s.a.
                                       ","Medellín
                                            ","Cableado estructurado
                                            ","conectar@une.net.co  
                           "," www.conectar.com.co  
                                    ","Cr 43A 19A-87 L 06  
                                 ","2622892  
    ","2628729  
    "
"Julieth Ortega","Julieth Ortega","Conectel comunicaciones e inversiones ltda.
            ","JO","Conectel comunicaciones e inversiones ltda.
            ","Bucaramanga
                                            ","Telefonía celular
                                            ","conectel.ltda@yahoo.es  
                        ",,"Cr 33 54-41  
                                        ","6999589  
    ","6434826  
    "
"Julieth Ortega","Julieth Ortega","Conempleo ltda.
                                    ","JO","Conempleo ltda.
                                    ","Armenia
                                            ","Empleados temporales
                                            ","gempresarialarm@telecom.com.co  
                ",,"Cl 23 12-59 Of 302 Edif Camacol  
                    ","7411672  
    ",
"Julieth Ortega","Julieth Ortega","Conempleo ltda.
                                      ","JO","Conempleo ltda.
                                      ","Manizales
                                            ","Empleados temporales
                                            ","grupomanizales@grupocoltempora.com  
            ",,"Cr 24 20-48 Of 802 Edif Confamiliares del Centro  
   ","8820709  
    ","8804530  
    "
"Julieth Ortega","Julieth Ortega","Confección de gorras y camisetas
                   ","JO","Confección de gorras y camisetas
                   ","Pereira
                                            ","Cachuchas, gorras y sombreros
                                            ","carlosgorras@hotmail.com  
                      "," www.gorrawarnerxtrok.com  
                               ","Cl 16 4-43  
                                        C","3354276  
    ",
"Julieth Ortega","Julieth Ortega","Confección de ropa masculina
                        ","JO","Confección de ropa masculina
                        ","Medellín
                                            ","Camisetas
                                            ","julionext@yahoo.es  
                            ",,"Cl 59 47-42  
                                        ","2549453  
    ",
"Julieth Ortega","Julieth Ortega","Confecciones a & m
                                  ","JO","Confecciones a & m
                                  ","Medellín
                                            ","Blusas
                                            ","marlenmontoya@hotmail.com  
                     ",,"Cl 73A 77-8  
                                        ","2342116  
    ","2348186  
    "
"Julieth Ortega","Julieth Ortega","Confecciones a terceros dora tobón
                ","JO","Confecciones a terceros dora tobón
                ","Itagüí
                                            ","Dotaciones industriales
                                            ","doratobon@hotmail.com  
                         ",,"Cr 52B 72-30  
                                       ","2774815  
    ",
"Julieth Ortega","Julieth Ortega","Confecciones alison ltda.
                         ","JO","Confecciones alison ltda.
                         ","Bogotá
                                            ","Uniformes
                                            ","sueteres@confeccionesalison.com  
               "," www.confeccionesalison.com  
                             ","Cr 25 73-33  
                                        ","6304884  
    ","6301470  
    "
"Julieth Ortega","Julieth Ortega","Confecciones antonio s.a.
                           ","JO","Confecciones antonio s.a.
                           ","Medellín
                                            ","Camisas
                                            ","alejim@une.net.co  
                             ",,"Cr 50 48-18 Itagüí  
                                 ","2771128  
    ",
